@relation data

@attribute Class {DCIC,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,Nerv,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
Fettgewebe,0,1,10,7,13,26,38528,57792,381,439,244,529,50728,7176,2526,190937,38528,33,30,23,39,267,37,13,1013,12056,3588,758,31822,1160876,339554,144629,2998447
Fettgewebe,0,0,9,7,14,51,39852,190723,299,251,145,348,159495,982,588,2014,39852,21,20,17,22,176,6,4,9,7287,520,343,759,3235751,31257,12763,134808
Fettgewebe,0,0,9,8,15,60,13988,115987,287,236,156,364,94888,1061,643,3162,13988,20,18,16,23,93,6,4,18,1272,298,88,527,635750,25077,7476,74702
Fettgewebe,0,4,18,10,20,54,6595,78050,329,212,105,436,62711,994,710,1600,6595,31,26,20,36,228,8,5,12,796,151,71,304,118762,10989,4123,40107
Fettgewebe,0,0,3,11,88,122,9105,37044,435,297,143,502,17457,1450,809,3931,9105,27,23,19,32,32,7,4,14,1334,433,87,1369,327804,48088,4583,213059
Fettgewebe,0,0,10,8,15,52,16304,34421,247,133,90,414,28870,3394,1756,6106,16304,33,24,20,36,137,15,9,32,3925,1782,1221,4167,565072,540960,98262,930752
Fettgewebe,0,0,9,8,14,41,9144,30480,463,231,109,553,25457,39171,2251,42896,9144,40,23,18,52,281,339,15,455,2812,3646,1125,3917,143394,123916,84175,155424
Fettgewebe,0,2,16,7,15,56,13867,45764,241,223,172,298,36532,2262,932,6582,13867,20,20,17,23,40,10,4,15,2691,754,453,1467,1188393,104273,84258,278860
Fettgewebe,0,0,11,7,15,53,17910,62686,300,244,154,422,53100,4165,1141,206243,17910,20,19,17,23,167,109,9,546,4104,833,570,14731,712673,44820,15803,2777318
Fettgewebe,0,0,4,7,21,80,29746,80562,296,211,114,361,59883,1017,677,5459,29746,29,25,20,31,147,5,2,40,6212,1017,242,5657,1554919,210577,31773,513416
Fettgewebe,0,0,3,10,53,88,32539,52636,280,193,114,381,35646,1122,759,2721,32539,27,26,21,31,95,4,2,11,3255,1031,396,2721,1268794,153643,43054,451893
Fettgewebe,0,0,1,14,92,111,21615,23706,308,271,121,455,10045,1206,730,2561,21615,23,21,17,26,43,4,2,11,2194,744,528,1894,345412,124298,54584,278219
Fettgewebe,0,0,1,9,35,104,64400,48300,306,171,131,420,28449,4738,1380,26083,64400,27,25,21,33,183,98,6,105,11715,1673,701,24241,1262677,218519,134930,726639
Fettgewebe,0,0,7,7,17,94,94544,50423,145,139,121,187,31008,3934,1547,14130,94544,30,29,26,39,391,13,7,122,10992,12003,3934,14130,1139111,1354651,814894,1424175
Fettgewebe,0,0,7,5,11,56,34623,104998,330,251,125,414,84228,1164,685,2938,34623,29,25,19,33,106,6,3,13,3587,738,365,2159,1183601,83123,26396,297379
Fettgewebe,0,0,8,7,21,66,24589,88044,210,147,79,264,71318,1209,640,1748,24589,34,29,22,41,41,5,4,8,2376,262,203,1161,1445356,29073,14393,171177
Fettgewebe,0,3,14,6,14,36,12602,100821,275,265,168,346,90762,4216,1537,8982,12602,17,17,15,20,688,41,32,43,3717,843,384,1497,260196,42767,16733,204109
Fettgewebe,0,0,6,6,11,33,11185,68789,377,288,157,448,55966,3593,839,45367,11185,28,24,18,35,414,11,5,979,4930,1440,141,4665,353846,117608,6274,287827
