@relation data

@attribute Class {DCIC,Entz¸ndung,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
Fettgewebe,0,0,7,7,17,94,94544,50423,145,139,121,187,31008,3934,1547,14130,94544,30,29,26,39,391,13,7,122,10992,12003,3934,14130,1139111,1354651,814894,1424175
Fettgewebe,0,0,4,7,21,80,29746,80562,296,211,114,361,59883,1017,677,5459,29746,29,25,20,31,147,5,2,40,6212,1017,242,5657,1554919,210577,31773,513416
Fettgewebe,0,5,28,8,24,70,15623,48381,332,287,180,385,34038,709,613,1808,15623,19,18,16,22,35,6,3,11,1908,600,261,2494,873015,35932,15305,272171
Fettgewebe,0,0,7,5,11,56,34499,104998,329,251,125,414,84228,1164,685,2938,34499,29,26,19,33,106,6,3,13,3587,738,365,2159,1183601,83123,26396,297379
Fettgewebe,0,1,13,10,41,69,106657,119990,269,265,212,313,91830,5523,1105,25209,106657,29,26,20,29,105,11,5,39,27007,8403,608,98447,12090359,2673142,107433,45507612
Fettgewebe,0,0,9,8,15,60,13988,115987,287,236,156,364,94888,1061,643,3162,13988,20,18,16,23,93,6,4,18,1272,298,88,527,635750,25077,7476,74702
Fettgewebe,0,0,10,8,15,52,16304,34421,247,133,90,414,28870,3394,1756,6106,16304,33,24,20,36,137,15,9,32,3925,1782,1221,4167,565072,540960,98262,930752
Fettgewebe,0,0,5,6,13,52,18488,154071,265,225,137,307,133119,97896,68535,232927,18488,37,31,27,41,742,442,338,1447,10370,11646,5758,13707,1407833,832976,324475,3066049
Fettgewebe,0,7,30,7,16,59,5935,19785,708,491,125,926,14512,1348,874,2698,5935,34,27,21,41,72,12,8,21,982,674,474,874,92614,71607,23634,102306
Fettgewebe,0,10,43,7,24,73,3934,29016,451,341,146,564,19715,882,714,7819,3934,26,25,18,30,71,8,7,108,612,364,121,441,84037,14084,4032,51825
